dataset,path,bpp,msssim_torch,msssim_iqa,psnr,vif,fsim,nlpd,iw-ssim,vmaf,psnr_hvs
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/13700.png,0.12,0.920198917388916,0.9196543097496033,23.48692155057649,33.63833913977945,34.30859426496644,0.29338526725769043,0.8304302096366882,0.34055089950561523,0.9103447198867798
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/13700.png,0.25,0.9551625847816467,0.9549205899238586,25.76970434652756,35.20275203428475,37.062611345413,0.38401347398757935,0.8755238652229309,0.2562115788459778,0.953685998916626
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/13700.png,0.75,0.9914671182632446,0.9914281964302063,31.70598657552369,38.06885980930505,40.37553349635033,0.5907637476921082,0.9587755799293518,0.1262696236371994,0.9912130236625671
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/13700.png,1.0,0.994953453540802,0.9949347972869873,34.487176510041486,41.42718284199481,44.03106806806686,0.6631938219070435,0.9765050411224365,0.09523042291402817,0.9951788783073425
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/13700.png,2.0,0.9986734986305237,0.9986656308174133,38.39597966720534,44.144192215801795,46.818735763205765,0.7853774428367615,0.9904865622520447,0.056599460542201996,0.9985823035240173
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/10175.png,0.12,0.9395147562026978,0.9393641352653503,23.315373815564747,34.13164257516873,37.05438799470359,0.3181923031806946,0.8350751399993896,0.3113100230693817,0.9084917902946472
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/10175.png,0.25,0.9668181538581848,0.9667763113975525,26.07746247429565,35.26976133467534,39.853482786869655,0.40435510873794556,0.892705500125885,0.23822283744812012,0.9533889293670654
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/10175.png,0.75,0.9899507164955139,0.9899381399154663,31.11705476148818,41.207907974962986,43.641323909856105,0.5646355748176575,0.9483533501625061,0.13347980380058289,0.9874895811080933
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/10175.png,1.0,0.994550347328186,0.9945436120033264,33.6413423624308,42.995115661914895,46.50176577882262,0.636957585811615,0.9701787829399109,0.10224844515323639,0.993561327457428
lsun,/nas/public/exchange/JPEG-AI/data/TEST/lsun/original/cat/10175.png,2.0,0.998388946056366,0.9983851313591003,36.9222686588379,45.719260978593226,49.357461908272505,0.7548027038574219,0.9880132675170898,0.06386199593544006,0.9979177713394165
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/456--n02879718_10059.png,0.12,0.995134711265564,0.9951086640357971,30.35338925529681,52.14530547046248,56.095282084627975,0.5440455079078674,0.9593629240989685,0.11221373081207275,0.9862996339797974
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/456--n02879718_10059.png,0.25,0.9983972907066345,0.9983885884284973,34.654094934100435,52.37736155774432,56.780708205475726,0.6663680076599121,0.9807504415512085,0.06770620495080948,0.9953713417053223
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/456--n02879718_10059.png,0.75,0.9996846318244934,0.9996767640113831,41.082672383121334,52.886066147133555,57.742512509731405,0.8101168274879456,0.9952600598335266,0.03293544799089432,0.9990295767784119
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/456--n02879718_10059.png,1.0,0.9998080730438232,0.999802827835083,42.765857067543244,54.32842973076051,58.52992927669572,0.8560959100723267,0.99722820520401,0.02700830064713955,0.9993558526039124
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/456--n02879718_10059.png,2.0,0.9998493194580078,0.9998474717140198,43.55884286716846,55.37847587921363,59.75503998450273,0.8776972889900208,0.9980130791664124,0.02417309395968914,0.9994645118713379
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/122--n01983481_8922.png,0.12,0.9703866839408875,0.9702702164649963,27.751271991002653,33.027280839863465,32.17497478467408,0.44325947761535645,0.8829709887504578,0.2247285097837448,0.9558082818984985
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/122--n01983481_8922.png,0.25,0.9880099892616272,0.9879817962646484,31.0937161863834,34.61473763100828,34.339994690289174,0.5642299652099609,0.9331874251365662,0.14814011752605438,0.983146071434021
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/122--n01983481_8922.png,0.75,0.9969786405563354,0.9969712495803833,36.973436859428084,37.4874721767013,38.893167340525366,0.7292012572288513,0.9770548343658447,0.07587797194719315,0.996118426322937
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/122--n01983481_8922.png,1.0,0.9982073903083801,0.9982033371925354,39.137879415297775,38.1870075090184,39.67570481261185,0.7837212681770325,0.9852455258369446,0.059490904211997986,0.997726559638977
imagenet,/nas/public/exchange/JPEG-AI/data/TEST/imagenet/original/122--n01983481_8922.png,2.0,0.99923175573349,0.9992287755012512,42.39748353389325,39.945855880209905,41.74231115611984,0.8598232865333557,0.9935802221298218,0.041326701641082764,0.9990315437316895
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000227478.png,0.12,0.9158680438995361,0.915643036365509,22.83524678121821,55.13199911767581,63.65908927504102,0.25949928164482117,0.8017429113388062,0.3675229549407959,0.9000220894813538
